1,7158
2,7434
3,7725
4,8025
5,8285
6,8581
7,8898
8,9221
9,9567
10,9777
11,10009
12,10310
13,10617
14,10968
15,11216
16,11523
17,11771
18,12086
19,12376
20,12744
21,13119
22,13563
23,13938
24,14327
25,14730
26,15396
27,15843
28,16310
29,16823
30,17359
31,17903
32,18363
33,18642
34,18851
35,19072
36,19387
37,20043
38,20500
39,20925
40,21422
41,21989
42,22845
43,23710
44,24601
45,25615
46,26272
47,26912
48,27312
49,28206
50,29002
51,29549
52,30021
53,30454
54,31097
55,32064
56,33206
57,34183
58,35083
59,35441
60,37175
61,38045
62,38962
63,40111
64,41865
65,42862
66,43953
67,44878
68,45785
69,46962
70,49174
71,50508
72,51947
73,53587
74,55545
75,57255
76,59067
77,61088
78,63091
79,65234
80,67011
81,68891
82,70358
83,71813
84,74212
85,76005
86,78130
87,79294
88,81115
89,82366
90,83782
91,85762
92,87723
93,89349
94,91444
95,92661
96,93702
97,94654
98,96592
99,98301
100,98387
101,101334
102,103020
103,103851
104,104786
105,105557
106,106309
107,107580
108,108433
109,109004
110,110361
111,111478
112,112449
113,112770
114,114532
115,115060
116,116710
117,117242
118,119254
119,121023
120,122185
121,123889
122,125235
123,126058
124,127616
125,128239
126,129285
127,130393
128,131803
129,132314
130,132973
131,133606
132,134417
133,135565
134,136703
135,137646
136,138755
137,139459
138,140160
139,141087
140,141757
141,142863
142,144164
143,144962
144,145780
145,146584
146,147153
147,148206
148,150658
149,151591
150,152321
151,152983
152,153554
153,154701
154,155744
155,156698
156,158380
157,159169
158,159713
159,160477
160,161418
161,161975
162,163465
163,164526
164,165342
165,166076
166,167193
167,167977
168,169162
169,170374
170,171662
171,172626
172,173485
173,174528
174,175674
175,177064
176,180916
177,183276
178,184355
179,185322
180,186437
181,187706
182,189149
183,190496
184,192285
185,193985
186,194892
187,195929
188,197777
189,199158
190,200714
191,202482
192,203687
193,204857
194,206567
195,208637
196,210637
197,213617
198,215843
199,217822
200,219232
201,220848
202,223486
203,225910
204,228373
205,230708
206,232506
207,234080
208,236865
209,239318
210,241957
211,242874
212,244993
213,247229
214,249524
215,252900
216,256828
217,260359
218,264199
219,267589
220,269877
221,272229
222,276665
223,280187
224,284922
225,288775
226,292841
227,295631
228,297895
229,301533
230,305640
231,310335
232,315683
233,319904
234,322452
235,324832
236,329811
237,334569
238,338801
239,342426
240,343458
241,345628
242,347897
243,351804
244,356820
245,361226
246,365747
247,369458
248,371934
249,374095
250,379593
251,384184
252,389230
253,394287
254,399150
255,401900
256,404000
257,407848
258,410995
259,414583
260,417528
261,420681
262,422598
263,424028
264,426543
265,429655
266,432536
267,436087
268,439442
269,441170
270,443009
271,445909
272,449086
273,452734
274,455582
275,455582
276,459639
277,460860
278,462938
279,465056
280,467823
281,469319
282,471311
283,472423
284,473348
285,474666
286,476067
287,477570
288,478667
289,479856
290,480931
291,481605
292,482488
293,483167
294,484365
295,485212
296,485986
297,486843
298,487520
299,488973
300,490220
301,491110
302,491849
303,492683
304,493252
305,493769
306,494421
307,497154
308,498076
309,498887
310,499411
311,499819
